FirstSurvey,Surveyno,WVDNRID,Date,JulianDay,Year,County,Scout,Land,Hours,PublicPrivate,Gobbling,Gcalled,GSeen,JSeen,GKilled,GCrip,GMissed,Intensity,HHeard,TotCalled,HSeen,HCalled,UnknownTK,Deer,Squirrels,Bear,Fox,Bobcats,RGFlushed,RGDrum,Coyotes,TKWinKill,DRWinKill,Temp,Precip,Wind,Cloud,Woods,Batch,Region,District,StartDate,WOS
0,190660,,4/27/2019,116,2019,Monongalia,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,GH19J220,4,1,4/15/2019,2
0,190660,,4/25/2019,114,2019,Monongalia,0,0,1,,5,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,3,0,0,GH19J220,4,1,4/15/2019,2
0,190660,,4/23/2019,112,2019,Monongalia,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,GH19J220,4,1,4/15/2019,2
0,190660,,4/20/2019,109,2019,Monongalia,0,0,2.5,,0,0,0,0,0,0,0,,0,1,1,1,0,5,0,0,0,0,0,0,0,0,0,2,1,3,0,0,GH19J220,4,1,4/15/2019,1
1,190660,,4/15/2019,104,2019,Monongalia,0,0,5,,0,0,0,0,0,0,0,,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,3,3,3,0,0,GH19J220,4,1,4/15/2019,1
0,190659,,4/30/2019,119,2019,Hampshire,0,0,5.5,,0,0,0,0,0,0,0,5,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,2,2,5,0,0,GH19J220,1,2,4/15/2019,3
0,190659,,4/19/2019,108,2019,Hampshire,0,0,5.5,,0,0,0,0,0,0,0,5,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J220,1,2,4/15/2019,1
1,190659,,4/18/2019,107,2019,Hampshire,0,0,5.5,,0,0,0,0,0,0,0,4,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,2,1,5,0,0,GH19J220,1,2,4/15/2019,1
0,190657,,4/25/2019,114,2019,Marion,0,0,2,,6,1,1,0,1,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J220,4,1,4/15/2019,2
0,190657,,4/23/2019,112,2019,Wood,0,0,2,,3,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J220,5,6,4/15/2019,2
0,190657,,4/22/2019,111,2019,Marion,0,0,3,,8,1,1,0,0,0,0,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J220,4,1,4/15/2019,2
0,190657,,4/18/2019,107,2019,Marion,0,0,2,,12,1,1,0,1,0,0,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J220,4,1,4/15/2019,1
0,190657,,4/17/2019,106,2019,Tyler,0,0,3,,8,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,GH19J220,5,6,4/15/2019,1
0,190657,,4/16/2019,105,2019,Tyler,0,0,4,,10,3,3,0,0,0,0,4,6,4,1,1,5,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,GH19J220,5,6,4/15/2019,1
1,190657,,4/15/2019,104,2019,Tyler,0,0,5,,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,GH19J220,5,6,4/15/2019,1
0,190656,,4/29/2019,118,2019,Mineral,0,0,4,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GH19J229,1,2,4/15/2019,3
0,190656,,4/24/2019,113,2019,Mineral,0,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GH19J229,1,2,4/15/2019,2
0,190656,,4/17/2019,106,2019,Mineral,0,0,3,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GH19J229,1,2,4/15/2019,1
0,190656,,4/15/2019,104,2019,Mineral,0,0,3,,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GH19J229,1,2,4/15/2019,1
1,190656,,4/13/2019,102,2019,Mineral,0,0,4,,0,2,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GH19J229,1,2,4/15/2019,0
0,190655,,5/11/2019,130,2019,Ritchie,0,0,5,,3,2,2,0,0,0,0,4,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,4,0,0,GH19J229,5,6,4/15/2019,4
0,190655,,5/8/2019,127,2019,Putnam,0,0,1,,3,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,GH19J229,6,5,4/15/2019,4
0,190655,,5/3/2019,122,2019,Pendleton,0,0,6,,2,2,2,0,0,0,0,5,3,5,3,3,0,4,1,0,0,0,0,0,0,0,0,2,1,2,0,0,GH19J229,1,2,4/15/2019,3
0,190655,,4/26/2019,115,2019,Pendleton,0,0,6,,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,GH19J229,1,2,4/15/2019,2
0,190655,,4/22/2019,111,2019,Marion,0,0,3,,2,1,1,0,1,0,0,3,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,3,1,4,0,0,GH19J229,4,1,4/15/2019,2
0,190655,,4/20/2019,109,2019,Preston,0,0,3,,1,0,0,0,0,0,0,5,2,2,2,2,0,4,2,0,0,0,0,0,0,0,0,3,1,3,0,0,GH19J229,4,1,4/15/2019,1
1,190655,,4/15/2019,104,2019,Putnam,0,0,1.5,,4,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,GH19J229,6,5,4/15/2019,1
0,190654,203438,5/4/2019,123,2019,Nicholas,0,0,5,,8,1,1,0,0,0,0,3,2,1,3,0,0,2,0,0,0,0,0,0,0,0,0,2,1,4,0,0,GH19J229,3,3,4/15/2019,3
0,190654,203438,4/28/2019,117,2019,Nicholas,0,0,3,,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,1,0,0,GH19J229,3,3,4/15/2019,2
0,190654,203438,4/27/2019,116,2019,Nicholas,0,0,6,,3,0,0,0,0,0,0,2,2,0,1,0,0,8,0,0,0,0,0,1,0,0,0,3,1,3,0,0,GH19J229,3,3,4/15/2019,2
0,190654,203438,4/20/2019,109,2019,Nicholas,0,0,5,,2,1,1,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,GH19J229,3,3,4/15/2019,1
0,190654,203438,4/19/2019,108,2019,Nicholas,0,0,3,,1,0,2,0,0,0,0,2,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,3,4,2,0,0,GH19J229,3,3,4/15/2019,1
0,190654,203438,4/18/2019,107,2019,Nicholas,0,0,3,,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,0,0,GH19J229,3,3,4/15/2019,1
0,190654,203438,4/17/2019,106,2019,Nicholas,0,0,6,,6,1,1,0,0,0,0,4,2,3,2,2,0,1,3,0,0,0,0,0,0,0,0,2,1,4,0,0,GH19J229,3,3,4/15/2019,1
0,190654,203438,4/16/2019,105,2019,Nicholas,0,0,6,,5,1,1,0,0,0,0,3,2,1,0,0,1,4,1,0,0,0,0,0,0,0,0,4,1,4,0,0,GH19J229,3,3,4/15/2019,1
1,190654,203438,4/15/2019,104,2019,Nicholas,0,0,4,,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,1,0,0,GH19J229,3,3,4/15/2019,1
0,190653,,4/20/2019,109,2019,Wood,0,0,5,,2,0,2,0,0,0,0,5,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,3,1,0,0,GH19J229,5,6,4/15/2019,1
1,190653,,4/19/2019,108,2019,Wood,0,0,6,,4,0,6,0,0,0,0,4,2,1,2,1,10,0,1,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,5,6,4/15/2019,1
0,190652,,5/10/2019,129,2019,Calhoun,0,0,5,,0,1,0,1,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,GH19J229,5,6,4/15/2019,4
0,190652,,5/9/2019,128,2019,Calhoun,0,0,5,,0,0,3,0,0,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,GH19J229,5,6,4/15/2019,4
0,190652,,5/1/2019,120,2019,Calhoun,0,0,5,,0,0,0,6,0,0,0,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,GH19J229,5,6,4/15/2019,3
0,190652,,4/27/2019,116,2019,Calhoun,0,0,4.5,,3,0,4,0,0,0,0,3,0,0,5,0,0,9,0,0,1,0,0,0,0,0,0,2,3,4,0,0,GH19J229,5,6,4/15/2019,2
0,190652,,4/23/2019,112,2019,Calhoun,0,0,3.5,,4,5,2,0,1,0,0,4,2,5,1,0,2,3,0,0,0,0,0,0,0,0,0,2,1,5,0,0,GH19J229,5,6,4/15/2019,2
0,190652,,4/22/2019,111,2019,Calhoun,0,0,4,,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,GH19J229,5,6,4/15/2019,2
0,190652,,4/20/2019,109,2019,Calhoun,0,0,3.5,,4,1,1,0,0,0,0,4,0,1,2,0,0,6,0,0,1,0,0,0,0,0,0,0,1,4,0,0,GH19J229,5,6,4/15/2019,1
0,190652,,4/16/2019,105,2019,Calhoun,0,0,3.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,GH19J229,5,6,4/15/2019,1
